# id	file_path	transparent_color_r	g	b
[TEXTURES]
#0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
#50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
0	textures\MarioLuigi.png	255	255	255

# id	left	top	width	height	texture_id
[SPRITES]
# SMALL MARIO
# IDLE
10002	254	9	12	15	0
# WALK
10003	254	9	12	15	0
10004	269	8	15	16	0
# SKID
10005	287	8	14	16	0
# RUN
10006	323	8	16	16	0
10007	341	8	16	16	0
# JUMP
10008	304	8	16	16	0
# HIGH JUMP
10009	360	8	16	16	0
# DIE
10010	416	8	16	16	0
# SLIDE
10011	379	8	15	16	0
# HOLD
10012	435	8	14	16	0
10013	452	8	15	16	0
# KICK
10014	470	8	16	16	0
# DIVE
10015	489	8	16	16	0
10016	508	9	16	15	0
# SWIM
10017	527	9	14	15	0
10018	544	8	14	16	0
# CLIMB
10019	561	9	14	15	0
10020	578	9	14	15	0


# BIG MARIO 
# IDLE
10023	197	48	14	27	0
# WALK
10024	214	48	16	27	0
10025	233	49	16	26	0
# SKID
10026	252	47	16	28	0
# RUN
10027	290	48	19	27	0
10028	312	48	19	27	0
10029	335	49	19	26	0
# JUMP
10030	271	49	16	26	0
# HIGH JUMP
10031	357	49	19	26	0
# CROUCH
10032	379	47	14	28	0
# SLIDE
10033	396	49	16	26	0
# HOLD
10034	434	48	14	27	0
10035	451	48	15	27	0
10036	469	49	16	26	0
# KICK
10037	488	48	21	27	0
# DIVE
10038	512	48	19	27	0
10039	534	49	19	26	0
# SWIM
10040	556	48	19	27	0
10041	578	48	18	27	0
10042	599	49	19	26	0
# CLIMB
10043	621	50	16	25	0
10044	640	50	16	25	0
# ROLL
10045	320	317	22	20	0
10046	345	317	19	20	0
10047	367	315	20	22	0
10048	390	318	20	19	0
10049	413	317	22	20	0
10050	438	317	19	20	0
10051	460	315	20	22	0
10052	483	318	20	19	0

# RACCOON MARIO
# IDLE FRONT
10053	174	142	16	28	0
# IDLE
10054	80	142	21	28	0
# WALK
10055	80	142	21	28	0
10056	104	142	22	28	0
10057	129	143	23	27	0
# SKID
10058	155	140	16	30	0
# RUN
10059	283	143	23	27	0
10060	129	143	23	27	0
10155	80	142	21	28	0
10061	104	142	22	28	0
# JUMP
10062	257	143	23	27	0
# SPEED UP
10063	360	142	24	28	0
10064	387	142	24	28	0
10065	414	143	24	27	0
# FLY
10066	441	143	24	27	0
10067	468	143	24	27	0
10068	495	142	24	28	0
# SPIN
10069	174	142	16	28	0
10070	193	142	23	28	0
10071	219	142	16	28	0
# CROUCH
10072	522	142	22	28	0
# SLIDE
10073	547	143	16	27	0
# HOLD
10074	566	142	21	28	0
10075	590	142	22	28	0
10076	615	143	23	27	0
# KICK
10077	641	142	22	28	0
# DIVE
10078	666	142	24	28	0
10079	693	143	24	27	0
# SWIM
10080	720	142	24	28	0
10081	747	142	23	28	0
10082	773	143	24	27	0
# CLIMB
10083	800	142	16	28	0
10084	819	142	16	28	0
# ROLL
10085	319	342	22	20	0
10086	344	342	21	20	0
10087	368	340	20	22	0
10088	391	341	20	21	0
10089	414	342	22	20	0
10090	439	342	21	20	0
10091	462	340	20	22	0
10092	485	341	20	21	0




#BRICK
20001	408	225	16	16	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20

#KOOPAS
#walk left
50001	205	191	221	217	30
50002	222	191	238	217	30
#walk right
50011	187	191	202	217	30
50012	170	191	185	217	30
#die
50031	152	202	168	217	20


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== MARIO =========
#idle big
400	10023	100
#walk big
401	10024	100	10025	100	10023	100
#walk run big
411	10024	50	10025	50	10023	50
#run big
402	10027	100	10028	100	10029	100
#skid big
403	10026	100
#jump big
404	10030	100
#crouch big
405	10032	100
#idle small
500	10002	100
#walk small
501	10003	100	10004	100
#run small	
502	10006	100	10007	100
#skid small
503	10005	100
#jump small	
504	10008	100
#idle raccoon
300	10054	100
#walk raccoon
301	10055	100	10056	100	10057	100
#run raccoon
302	10059	100	10060	100	10155	100	10061	100
#skid raccoon
303	10058	100
#jump raccoon
304	10062	100
#crouch raccoon
305	10072	100
#spin raccoon
306	10069	100	10070	100	10071	100



# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100


# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100

# ==== KOOPAS  =========
#walk left
801	50001	100	50002	100
#walk right
802	50011	100	50012	100
#die
803	50031	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	500	501	502	503	403	404	504	405	300	301	302	303	304	305	306	411
# BRICK 
2	601
# QUESTION MARK BRICK 
22	602
# GOOMBA
3	701	702
#KOOPAS
4	801	802	803

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# MARIO
0	10	0	1

# KOOPAS
#3	20	24	4

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	150	2	1	1
1	0	135	2	1	1
#1	0	120	2	1	1
#1	0	104	2	1	1
1	16	150	2	30	1
1	32	150	2	1	1
#1	48	150	2	1	1
#1	64	150	2	1	1
#1	80	150	2	1	1
#1	96	150	2	1	1
#1	112	150	2	1	1
#1	128	150	2	1	1
#1	144	150	2	1	1
#1	160	150	2	1	1
#1	176	150	2	1	1
#1	192	150	2	1	1

1	448	135	2	1	1
#
#1	150	134	22	1	1


# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	380	150	1

